"filename", "language", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"d:\APPS\blog2\README.md", "Markdown", 0, 0, 1, 0, 1, 2
"d:\APPS\blog2\api\controllers\user\login.js", "JavaScript", 44, 0, 0, 8, 10, 62
"d:\APPS\blog2\api\controllers\user\newTokens.js", "JavaScript", 34, 0, 0, 2, 9, 45
"d:\APPS\blog2\api\controllers\user\register.js", "JavaScript", 35, 0, 0, 6, 13, 54
"d:\APPS\blog2\api\helpers\jwtHelper.js", "JavaScript", 50, 0, 0, 1, 8, 59
"d:\APPS\blog2\api\middlewares\error-handler.js", "JavaScript", 19, 0, 0, 1, 3, 23
"d:\APPS\blog2\api\middlewares\passportJWTConfig.js", "JavaScript", 18, 0, 0, 0, 2, 20
"d:\APPS\blog2\api\middlewares\send.js", "JavaScript", 24, 0, 0, 0, 3, 27
"d:\APPS\blog2\api\routes\index.js", "JavaScript", 16, 0, 0, 4, 7, 27
"d:\APPS\blog2\api\routes\user.js", "JavaScript", 18, 0, 0, 0, 7, 25
"d:\APPS\blog2\app.js", "JavaScript", 40, 0, 0, 9, 12, 61
"d:\APPS\blog2\config\development.json", "JSON", 0, 7, 0, 0, 0, 7
"d:\APPS\blog2\database\db-connection.js", "JavaScript", 18, 0, 0, 0, 5, 23
"d:\APPS\blog2\database\models\comment.js", "JavaScript", 18, 0, 0, 0, 5, 23
"d:\APPS\blog2\database\models\post.js", "JavaScript", 18, 0, 0, 36, 17, 71
"d:\APPS\blog2\database\models\user.js", "JavaScript", 45, 0, 0, 3, 1, 49
"d:\APPS\blog2\package-lock.json", "JSON", 0, 1918, 0, 0, 1, 1919
"d:\APPS\blog2\package.json", "JSON", 0, 39, 0, 0, 1, 40
"d:\APPS\blog2\server.js", "JavaScript", 7, 0, 0, 0, 2, 9
"d:\APPS\blog2\test.js", "JavaScript", 4, 0, 0, 9, 5, 18
"Total", "-", 408, 1964, 1, 79, 112, 2564